index,is input,flow ID,flow name,flow category,flow unit,flow type,location ID,location name,location code
160,false,15fd8f0f-c3c2-4f63-b8d0-86793a22aacd,Calcium,Elementary flows/Emission to air/low population density,kg,elementary,,,
161,false,1f607ae2-b42d-4411-90b8-e9bbac66a554,Arsenic ion,Elementary flows/Emission to water/ground water,kg,elementary,,,
162,false,3184c902-c587-4fd7-bd89-769d3cf30072,Barium II,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
163,false,9c3bd678-1b2f-4b95-a245-d5c8a3fe326b,Aluminium III,Elementary flows/Emission to air/low population density,kg,elementary,,,
164,false,554be2fb-9bb9-46c6-a4df-46df0d53cb65,Hydrogen sulfide,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
165,false,57c27ba7-a61a-4932-8cd5-095c88ff0245,"BOD5, Biological Oxygen Demand",Elementary flows/Emission to water/ground water,kg,elementary,,,
166,false,e1aa92d7-9297-452e-ade0-e5e2acc52ad7,Mercury II,Elementary flows/Emission to water/ground water,kg,elementary,,,
167,false,68e32537-beae-41c2-be72-74df4d273c11,Hydrochloric acid,Elementary flows/Emission to air/low population density,kg,elementary,,,
168,false,d6235194-e4e6-4548-bfa3-ac095131aef4,"Carbon dioxide, non-fossil",Elementary flows/Emission to air/low population density,kg,elementary,,,
169,false,2ef56ffc-fa69-4b57-a936-3d588923ea8b,Iodide,Elementary flows/Emission to water/ground water,kg,elementary,,,
170,false,d32f9dd8-9514-4c22-8c99-2e108609731f,Bromine,Elementary flows/Emission to air/low population density,kg,elementary,,,
171,false,fb83d61e-6fe3-4da7-8eb2-b0e2dc85a76d,Sodium I,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
172,false,9b6d6f07-ebc6-447d-a3c0-f2017d77d852,Iron ion,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
173,false,5fa36ce3-aed0-443b-a09d-4cdf25b41995,Molybdenum VI,Elementary flows/Emission to air/low population density,kg,elementary,,,
